Winners, Losers
Gonzaga,Dixie State
UCLA,Cal State Bakersfield
Kansas,Michigan State
Villanova,Mount St. Mary's
Texas,Houston Baptist
Purdue,Bellarmine
Duke,Kentucky
Illinois,Jackson State
Memphis,Tennessee Tech
Oregon,Texas Southern
Alabama,Louisiana Tech
Houston,Hofstra
Arkansas,Mercer
Ohio State,Akron
Tennessee,UT-Martin
UNC,Loyola (MD)
Maryland,Quinnipiac
Auburn,Morehead State
St. Bonaventure,Siena
UConn,Central Connecticut
Navy,Virginia
Utah,Abilene Christian
Western Kentucky,Alabama State
Washington State,Alcorn State
Iona,Appalachian State
Creighton,Arkansas-Pine Bluff
Georgia Southern,Ball State
Ohio,Belmont
Southern Utah,Bethesda University (CA)
South Florida,Bethune-Cookman
Lipscomb,Birmingham-Southern
Wofford,Bob Jones University
Rhode Island,Boston University
Western Carolina,Bowling Green State
South Dakota State,Bradley
Middle Tennessee,Brescia
Georgia State,Brewton-Parker
Norfolk State,Bridgewater (VA)
NC State,Bucknell
Delaware State,Cairn
Santa Clara,Cal State Fullerton
USC,Cal State Northridge
UC-Davis,Utah State
New Mexico State,UC-Irvine
San Diego State,UC-Riverside
UC-San Diego,California
Miami (FL),Canisius
VMI,Carlow
Troy,Carver College
Saint Louis,Central Arkansas
Missouri,Central Michigan
Chattanooga,Loyola Marymount
The Citadel,Pitt
BYU,Cleveland State
Drake,Coe
Fordham,Columbia
North Dakota State,Concordia-Moorhead
Loyola (IL),Coppin State
Cornell,Binghamton
Murray State,Cumberland
Boston College,Dartmouth
Davidson,Delaware
Montana,Dickinson State (ND)
Howard,District of Columbia
Purdue-Fort Wayne,Earlham
Northwestern,Eastern Illinois
Indiana,Eastern Michigan
Idaho State,Eastern Oregon
Nevada,Eastern Washington
Florida,Elon
Merrimack,Emerson
Radford,Emory & Henry
Cincinnati,Evansville
Providence,Fairfield
Coastal Carolina,Ferrum
Bryant,Fisher College
Georgia,Florida International
Stetson,Florida Memorial
Florida Gulf Coast,Florida National University
Fresno State,Fresno Pacific
Eastern Kentucky,Georgetown (KY)
Grand Canyon,Grambling
Arkansas State,Harding
Wagner,Hartford
